Start Time,Duration,Attributes,Title,Device Type,Bookmark,Country,Title_0,Title_1,Title_2,PST Start Time,Month,Day,Year
2024-01-05 05:11:54,0.13694444444444445,,World War II: From the Frontlines: Season 1: Invasion (Episode 5),Sony Sony Android TV 2017 Smart TV,0.1386111111111111,US (United States),World War II: From the Frontlines,Season 1,Fortress Europe (Episode 4),2024-01-04 21:11:54-08:00,1,3,2024
2024-01-05 04:55:39,0.2644444444444444,Autoplayed: user action: User_Interaction; ,World War II: From the Frontlines: Season 1: Fortress Europe (Episode 4),Sony Sony Android TV 2017 Smart TV,0.7802777777777778,US (United States),BLUE EYE SAMURAI,Season 1,The Great Fire of 1657 (Episode 8),2024-01-04 20:55:39-08:00,1,3,2024
2024-01-05 04:09:51,0.7525,,BLUE EYE SAMURAI: Season 1: The Great Fire of 1657 (Episode 8),Sony Sony Android TV 2017 Smart TV,0.7705555555555557,US (United States),BLUE EYE SAMURAI,Season 1,Nothing Broken (Episode 7),2024-01-04 20:09:51-08:00,1,3,2024
2024-01-05 03:18:59,0.7216666666666667,,BLUE EYE SAMURAI: Season 1: Nothing Broken (Episode 7),Sony Sony Android TV 2017 Smart TV,0.7230555555555556,US (United States),BLUE EYE SAMURAI,Season 1,All Evil Dreams and Angry Words (Episode 6),2024-01-04 19:18:59-08:00,1,3,2024
2024-01-05 02:53:23,0.3352777777777778,,BLUE EYE SAMURAI: Season 1: All Evil Dreams and Angry Words (Episode 6),Sony Sony Android TV 2017 Smart TV,0.5519444444444445,US (United States),BLUE EYE SAMURAI,Season 1,All Evil Dreams and Angry Words (Episode 6),2024-01-04 18:53:23-08:00,1,3,2024
2024-01-05 02:27:42,0.22166666666666668,,BLUE EYE SAMURAI: Season 1: All Evil Dreams and Angry Words (Episode 6),Sony Sony Android TV 2017 Smart TV,0.22194444444444444,US (United States),BLUE EYE SAMURAI,Season 1,All Evil Dreams and Angry Words (Episode 6),2024-01-04 18:27:42-08:00,1,3,2024
2024-01-04 05:24:33,0.0005555555555555556,Autoplayed: user action: None; ,BLUE EYE SAMURAI: Season 1: All Evil Dreams and Angry Words (Episode 6),Sony Sony Android TV 2017 Smart TV,0.0008333333333333334,US (United States),BLUE EYE SAMURAI,Season 1,A Fixed Number of Paths (Episode 3),2024-01-03 21:24:33-08:00,1,2,2024
2024-01-04 04:40:20,0.7330555555555556,,BLUE EYE SAMURAI: Season 1: The Tale of the Ronin and the Bride (Episode 5),Sony Sony Android TV 2017 Smart TV,0.7397222222222222,US (United States),BLUE EYE SAMURAI,Season 1,A Fixed Number of Paths (Episode 3),2024-01-03 20:40:20-08:00,1,2,2024
2024-01-04 03:51:53,0.7358333333333332,Autoplayed: user action: User_Interaction; ,BLUE EYE SAMURAI: Season 1: Peculiarities (Episode 4),Sony Sony Android TV 2017 Smart TV,0.7586111111111111,US (United States),BLUE EYE SAMURAI,Season 1,An Unexpected Element (Episode 2),2024-01-03 19:51:53-08:00,1,2,2024
2024-01-02 04:54:37,0.5469444444444445,,BLUE EYE SAMURAI: Season 1: A Fixed Number of Paths (Episode 3),Sony Sony Android TV 2017 Smart TV,0.7227777777777777,US (United States),BLUE EYE SAMURAI,Season 1,An Unexpected Element (Episode 2),2024-01-01 20:54:37-08:00,1,0,2024
2024-01-02 04:35:11,0.02361111111111111,,BLUE EYE SAMURAI: Season 1: A Fixed Number of Paths (Episode 3),Sony Sony Android TV 2017 Smart TV,0.18805555555555553,US (United States),BLUE EYE SAMURAI,Season 1,Hammerscale (Episode 1),2024-01-01 20:35:11-08:00,1,0,2024
2024-01-02 04:17:54,0.16527777777777777,,BLUE EYE SAMURAI: Season 1: A Fixed Number of Paths (Episode 3),Sony Sony Android TV 2017 Smart TV,0.16527777777777777,US (United States),Leave the World Behind,,,2024-01-01 20:17:54-08:00,1,0,2024
2024-01-02 04:17:41,0.002777777777777778,,BLUE EYE SAMURAI: Season 1: An Unexpected Element (Episode 2),Sony Sony Android TV 2017 Smart TV,0.002777777777777778,US (United States),Leave the World Behind,,,2024-01-01 20:17:41-08:00,1,0,2024
2024-01-02 03:12:42,0.7572222222222222,,BLUE EYE SAMURAI: Season 1: An Unexpected Element (Episode 2),Sony Sony Android TV 2017 Smart TV,0.7602777777777778,US (United States),Leave the World Behind,,,2024-01-01 19:12:42-08:00,1,0,2024
2023-12-28 05:06:12,0.9997222222222222,Autoplayed: user action: User_Interaction; ,BLUE EYE SAMURAI: Season 1: Hammerscale (Episode 1),Sony Sony Android TV 2017 Smart TV,0.9997222222222222,US (United States),Leave the World Behind,,,2023-12-27 21:06:12-08:00,12,2,2023
2023-12-27 17:57:25,0.49333333333333335,,Leave the World Behind,Sony Sony Android TV 2017 Smart TV,2.190833333333333,US (United States),World War II: From the Frontlines,Season 1,Turning Point (Episode 3),2023-12-27 09:57:25-08:00,12,2,2023
